,X,bsky_handle,name
1,1,@adamjogee.bsky.social,Adam Jogee
2,2,@alangemmell.bsky.social,Alan Gemmell
3,3,@alexdaviesjones.bsky.social,Alex Davies-Jones
4,4,@alexkbrewer.bsky.social,Alex Brewer
5,5,@alexsobel.co.uk,Alex Sobel
6,6,@alisonebennett.bsky.social,Alison Bennett
7,7,@alisonstaylormp.bsky.social,Alison S Taylor
8,8,@alistrathern.bsky.social,Alistair Strathern
9,9,@allymcgovern.bsky.social,Alison McGovern
10,10,@alpinkerton.bsky.social,Dr Al Pinkerton
11,11,@amcarmichaelmp.bsky.social,Alistair Carmichael
12,12,@andrewlewinmp.bsky.social,Andrew Lewin
13,13,@andrewpakes.bsky.social,Andrew Pakes
14,14,@andrewwesternmp.bsky.social,Andrew Western
15,15,@angelaeagle1.bsky.social,Angela Eagle
16,16,@antoniabance.bsky.social,Antonia Bance
17,17,@bambosmp.bsky.social,Bambos Charalambous
18,18,@bellribeiroaddy.bsky.social,Bell Ribeiro-Addy
19,19,@bengoldsborough.bsky.social,Ben Goldsborough
20,20,@benobesejecty.bsky.social,Ben Obese-Jecty
21,21,@blairmcdougall.com,Blair McDougall
22,22,@callumandersonmp.bsky.social,Callum Anderson
23,23,@carladenyer.bsky.social,Carla Denyer
24,24,@carolinevoadenmp.bsky.social,Caroline Voaden
25,25,@carolynharris.bsky.social,Carolyn Harris
26,26,@cateccles.bsky.social,Cat Eccles
27,27,@catherinewestmp.bsky.social,Catherine West
28,28,@charlotte-cane-mp.bsky.social,Charlotte Cane
29,29,@charlotte2153.bsky.social,Charlotte Nichols
30,30,@chrisbloore.bsky.social,Chris Bloore
31,31,@chriscurtis94.bsky.social,Chris Curtis
32,32,@chriselmoremp.bsky.social,Chris Elmore
33,33,@chrishinchliff.bsky.social,Chris Hinchliff
34,34,@clairehanna.bsky.social,Claire Hanna
35,35,@claireyoungmp.bsky.social,Claire Young
36,36,@connornaismithmp.bsky.social,Connor Naismith
37,37,@danaldridgemp.bsky.social,Dan Aldridge
38,38,@danfrancis02.bsky.social,Daniel Francis
39,39,@dannychambers.bsky.social,Danny Chambers
40,40,@darrenpjones.bsky.social,Darren Jones
41,41,@davidbainesmp.bsky.social,David Baines
42,42,@davidbsampson.bsky.social,David Burton-Sampson
43,43,@dawnbutlerbrent.bsky.social,Dawn Butler
44,44,@deirdrecostiganmp.bsky.social,Deirdre Costigan
46,46,@drrosena.bsky.social,Dr Rosena Allin-Khan
47,47,@drscottarthurmp.bsky.social,Scott Arthur
48,48,@elliechowns.bsky.social,Ellie Chowns
49,49,@elsieblundellmp.bsky.social,Elsie Blundell
50,50,@emily4mk.bsky.social,Emily Darlington
51,51,@emilythornberry.bsky.social,Emily Thornberry
52,52,@emmahardymp.bsky.social,Emma Hardy
53,53,@fleuranderson.bsky.social,Fleur Anderson
54,54,@florenceeshalomi.bsky.social,Florence Eshalomi
55,55,@freddievanmierlomp.bsky.social,Freddie van Mierlo
56,56,@fredthomasuk.bsky.social,Fred Thomas
57,57,@andrewcooper.net,Andrew Cooper
58,58,@gordonmckee.bsky.social,Gordon McKee
59,59,@graemedowniemp.bsky.social,Graeme Downie
60,60,@gregorpoynton.bsky.social,Gregor Poynton
61,61,@gwynnemp.bsky.social,Andrew Gwynne
62,62,@hackneyabbott.bsky.social,Diane Abbott
63,63,@heidialexander.bsky.social,Heidi Alexander
64,64,@helenemaguire.bsky.social,Helen Maguire
65,65,@helenmorganlibdem.bsky.social,Helen Morgan
66,66,@imogenwalker.bsky.social,Imogen Walker
67,67,@jackabbott.bsky.social,Jack Abbott
68,68,@jamesasser.bsky.social,James Asser
69,69,@jamesmaccleary.bsky.social,James MacCleary
70,70,@jeevunsandher.bsky.social,Dr. Jeevun Sandher
71,71,@jeremycorbyn.bsky.social,Jeremy Corbyn
72,72,@jessasatomp.bsky.social,Jess Asato
73,73,@jessphillipsmp.bsky.social,Jess Phillips
74,74,@jimmcmahon.co.uk,Jim McMahon
75,75,@joemorrismp.bsky.social,Joe Morris
76,76,@joepowell.bsky.social,Joe Powell
77,77,@johnmcdonnellmp.bsky.social,John McDonnell
78,78,@jon4highpeak.bsky.social,Jon Pearce
79,79,@jonathandaviesmp.bsky.social,Jonathan Davies
80,80,@joplatt.bsky.social,Jo Platt
81,81,@joshdeanmp.bsky.social,Josh Dean
82,82,@joshfg.bsky.social,Josh Fenton-Glynn
83,83,@joshnewburymp.bsky.social,Josh Newbury
84,84,@joshuareynoldssl6.bsky.social,Joshua Reynolds
85,85,@jostevenslabour.bsky.social,Jo Stevens
86,86,@julietcampbellmp.bsky.social,Juliet Campbell
87,87,@karinsmythmp.bsky.social,Karin Smyth
88,88,@kateosbornemp.bsky.social,Kate Osborne
89,89,@katrinamurraymp.bsky.social,Katrina Murray
90,90,@kevinmckenna.co.uk,Kevin McKenna
91,91,@kirstysnp.bsky.social,Kirsty Blackman
92,92,@labourlewis.bsky.social,Clive Lewis
93,93,@larry-turner.bsky.social,Laurence Turner
94,94,@laylamoran.bsky.social,Layla Moran
95,95,@leedillonmp.bsky.social,Lee Dillon
96,96,@leepitcher.bsky.social,Lee Pitcher
97,97,@lewisatkinson.bsky.social,Lewis Atkinson
98,98,@liamconlon.bsky.social,Liam Conlon
99,99,@libdemcam.bsky.social,Cameron Thomas
100,100,@libdemdaisy.bsky.social,Daisy Cooper
101,101,@lizjarvis.bsky.social,Liz Jarvis
102,102,@lsrplaid.bsky.social,Liz Saville Roberts
103,103,@lucyrigby.bsky.social,Lucy Rigby
104,104,@luke-akehurstmp.bsky.social,Luke Akehurst
105,105,@lukecharters.bsky.social,Luke Charters
106,106,@lukemurphy.bsky.social,Luke Murphy
107,107,@lukepollard.bsky.social,Luke Pollard
108,108,@luketaylorld.bsky.social,Luke Taylor
109,109,@mariecgoldman.bsky.social,Marie Goldman
110,110,@markfergusonmp.bsky.social,Mark Ferguson
111,111,@markjsewards.bsky.social,Mark Sewards
112,112,@marshadecordova.bsky.social,Marsha de Cordova
113,113,@martinmccluskey.bsky.social,Martin McCluskey
114,114,@marykfoymp.bsky.social,Mary Kelly Foy
115,115,@mattbishopmp.bsky.social,Matt Bishop
116,116,@matthewpatrick.bsky.social,Matthew Patrick
117,117,@mattrodda.bsky.social,Matt Rodda
118,118,@maureenburke.bsky.social,Maureen Burke
119,119,@melanieonnmp.bsky.social,Melanie Onn
120,120,@melanieward.bsky.social,Melanie Ward
121,121,@michaelshanksmp.co.uk,Michael Shanks
122,122,@miattafahnbulleh.bsky.social,Miatta Fahnbulleh
123,123,@mp4stratford.bsky.social,Manuela Perteghella
124,124,@msalexbaker.bsky.social,Alex Baker
125,125,@nadiawhittomemp.bsky.social,Nadia Whittome
126,126,@naushabahkhanmp.bsky.social,Naushabah Khan
127,127,@ndironsmp.bsky.social,Natasha Irons
128,128,@oliverryanmp.bsky.social,Oliver Ryan
129,129,@patrickhurley.bsky.social,Patrick Hurley
130,130,@paulabarkermp.bsky.social,Paula Barker
131,131,@philbrickellmp.bsky.social,Phil Brickell
132,132,@pippaheylings.bsky.social,Pippa Heylings
133,133,@pollybillington.bsky.social,Polly Billington
134,134,@rachelhopkins.bsky.social,Rachel Hopkins
135,135,@racheltaylormp.bsky.social,Rachel Taylor
136,136,@rebeccalongbailey.com,Rebecca Long-Bailey
137,137,@richardburgon.bsky.social,Richard Burgon
138,138,@richardfoordld.bsky.social,Richard Foord
139,139,@rupahuq.bsky.social,Rupa Huq
140,140,@sadikal-hassanmp.bsky.social,Sadik Al-Hassan
141,141,@samanthadixonmp.bsky.social,Samantha Dixon
142,142,@samanthaniblett.bsky.social,Samantha Niblett
143,143,@samcarling.bsky.social,Sam Carling
144,144,@saqibbhattimp.bsky.social,Saqib Bhatti
145,145,@sarahdykeld.bsky.social,Sarah Dyke
146,146,@sarahhall-labour.bsky.social,Sarah Hall
147,147,@sarahowen.org.uk,Sarah Owen
148,148,@sdoughtymp.bsky.social,Stephen Doughty
149,149,@sharonhodgsonmp.bsky.social,Sharon Hodgson
150,150,@shockatadam.bsky.social,Shockat Adam
151,151,@sianberry.bsky.social,Sian Berry
152,152,@simonforstroud.bsky.social,Simon Opher
153,153,@simonlightwood.org.uk,Simon Lightwood
154,154,@sorchaeastwood.bsky.social,Sorcha Eastwood
155,155,@steffanaquarone.bsky.social,Steffan Aquarone
156,156,@stellacreasy.bsky.social,Stella Creasy
157,157,@stephenmorganmp.bsky.social,Stephen Morgan
158,158,@timfarron.bsky.social,Tim Farron
159,159,@tobyperkinsmp.bsky.social,Toby Perkins
160,160,@tomgordonld.bsky.social,Tom Gordon
161,161,@tomhayesmp.bsky.social,Tom Hayes
162,162,@torstenbell.bsky.social,Torsten Bell
163,163,@umakumaran.bsky.social,Uma Kumaran
164,164,@vickyfoxcroftmp.bsky.social,Vicky Foxcroft
165,165,@vikkislademp.bsky.social,Vikki Slade
166,166,@wendychambld.bsky.social,Wendy Chamberlain
167,167,@werahobhouse.bsky.social,Wera Hobhouse
168,168,@willforster.bsky.social,Will Forster
169,169,@willstonemp.bsky.social,Will Stone
170,170,@yasminqureshimp.bsky.social,Yasmin Qureshi
171,171,@yuanfenyang.bsky.social,Yuan Yang
172,172,@zarahsultana.bsky.social,Zarah Sultana
173,173,@zoefranklinld.bsky.social,Zoe Franklin
174,NA,@llinosmedi.bsky.social,Llinos Medi
175,NA,@jessicatoale.bsky.social,Jessica Toale
176,NA,@jenny4suffcoast.bsky.social,Jenny Riddell-Carpenter
177,NA,@joshsimonsmp.bsky.social,Josh Simons
178,NA,@maxwilkinson.bsky.social,Max Wilkinson
179,NA,@gideonamos.bsky.social,Gideon Amos
180,NA,@jessbrownfullermp.bsky.social,Jess Brown-Fuller
181,NA,@clivejonesmp.bsky.social,Clive Jones
182,NA,@adamjamesdance.bsky.social,Adam Dance
183,NA,@joanireid.com,Joani Reid
184,NA,@cmckinnellmp.bsky.social,Catherine McKinnell
185,NA,@richardquigley.bsky.social,Richard Quigley
186,NA,@kennethstevenson.bsky.social,Kenneth Stevenson
187,NA,@michellescrogham.bsky.social,Michelle Scrogham
188,NA,@preetkgillmp.bsky.social,Preet Gill
189,NA,@liambyrnemp.bsky.social,Liam Byrne
190,NA,@jontrickett.bsky.social,Jon Trickett
191,NA,@laverymp.bsky.social,Ian Lavery
192,NA,@delivering4crawley.bsky.social,Peter Lamb
193,NA,@peter4bracknell.bsky.social,Peter Swallow
194,NA,@kirithentwistle.bsky.social,Kirith Entwistle
195,NA,@rachelgilmourld.bsky.social,Rachel Gilmour
196,NA,@janetdaby.bsky.social,Janet Daby
197,NA,@christian4burys.bsky.social,Christian Wakeford
198,NA,@annamcmorrin.bsky.social,Anna McMorrin
199,NA,@andrewranger-mp.bsky.social,Andrew Ranger
200,NA,@jacobcolliermp.bsky.social,Jacob Collier
201,NA,@alexballingermp.bsky.social,Alex Ballinger
202,NA,@chazelgrovemp.bsky.social,Claire Hazelgrove
203,NA,@chriswardmp.bsky.social,Chris Ward
204,NA,@zubirahmed.bsky.social,Zubir Ahmed
205,NA,@billesterson.bsky.social,Bill Esterson
206,NA,@dancardenmp.bsky.social,Dan Carden
207,NA,@valerievazmp.bsky.social,Valerie Vaz
208,NA,@katiewhitemp.bsky.social,Katie White
209,NA,@catherinefookesmp.bsky.social,Catherine Fookes
210,NA,@pauldaviesmp.bsky.social,Paul Davies
211,NA,@ashleydaltonmp.bsky.social,Ashley Dalton
212,NA,@annagelderdmp.bsky.social,Anna Gelderd
213,NA,@ianmurraymp.bsky.social,Ian Murray
214,NA,@tracygilbertmp.bsky.social,Tracy Gilbert
215,NA,@catsmithmp.bsky.social,Cat Smith
216,NA,@johnwhitbymp.bsky.social,John Whitby
217,NA,@mwheelermp.bsky.social,Michael Wheeler
218,NA,@anneliesemidgleymp.bsky.social,Anneliese Midgley
219,NA,@feryalclark.bsky.social,Feryal Clark
220,NA,@chionwurah.bsky.social,Chi Onwurah
221,NA,@frankmcnallymp.bsky.social,Frank McNally
222,NA,@natalie-fleet-mp.bsky.social,Natalie Fleet
223,NA,@terryjermymp.bsky.social,Terry Jermy
224,NA,@jonathanbrashmp.bsky.social,Jonathan Brash
225,NA,@paulwaughmp.bsky.social,Paul Waugh
226,NA,@susan4ed.bsky.social,Susan Murray
227,NA,@chriskanemp.bsky.social,Chris Kane
228,NA,@stephengethins.bsky.social,Stephen Gethins
229,NA,@richardbakermp.bsky.social,Richard Baker
230,NA,@jamie4north.bsky.social,Jamie Stone
231,NA,@cajardinemp.bsky.social,Christine Jardine
232,NA,@chrismurraymp.bsky.social,Chris Murray
233,NA,@douglasmcallister.bsky.social,Douglas McAllister
234,NA,@sarahjonesmp.bsky.social,Sarah Jones
235,NA,@alanstricklandmp.bsky.social,Alan Strickland
236,NA,@chrisbryant1962.bsky.social,Chris Bryant
237,NA,@cliveefford.bsky.social,Clive Efford
238,NA,@shaundaviesmp.bsky.social,Shaun Davies
,,@peterprinsleymp.bsky.social,Peter Prinsley
,,@niagriffith.bsky.social,Nia Griffith
,,@davidpintod.bsky.social,David Pinto-Duschinsky
,,@georgiagould.bsky.social,Georgia Gould
,,@coyleneil.bsky.social,Neil Coyle
